title,0,0,4167,901,FinExp_0114.png,4167,6622
non-article,18,994,509,620,FinExp_0114.png,4167,6622
non-article,65,5164,386,562,FinExp_0114.png,4167,6622
non-article,71,5796,380,643,FinExp_0114.png,4167,6622
article,12,1654,480,345,FinExp_0114.png,4167,6622
article,47,2058,433,1480,FinExp_0114.png,4167,6622
article,53,3591,409,1533,FinExp_0114.png,4167,6622
article,545,3322,1000,2656,FinExp_0114.png,4167,6622
article,568,6012,948,468,FinExp_0114.png,4167,6622
article,1615,4568,2552,1936,FinExp_0114.png,4167,6622
article,3177,1005,954,3510,FinExp_0114.png,4167,6622
article,1615,3362,1445,1135,FinExp_0114.png,4167,6622
article,556,959,2556,2276,FinExp_0114.png,4167,6622
article,0,245,3634,1207,FinExp_0115.png,4167,6622
article,3692,245,475,3494,FinExp_0115.png,4167,6622
article,2623,3813,1544,1840,FinExp_0115.png,4167,6622
article,571,3818,2000,1829,FinExp_0115.png,4167,6622
article,0,1500,501,4153,FinExp_0115.png,4167,6622
article,560,1484,1064,2255,FinExp_0115.png,4167,6622
article,1687,1500,1936,2239,FinExp_0115.png,4167,6622
title,0,0,4167,202,FinExp_0115.png,4167,6622
article,0,253,2021,689,FinExp_0116.png,4167,6622
title,0,0,4167,208,FinExp_0116.png,4167,6622
non-article,2125,279,2008,2249,FinExp_0116.png,4167,6622
non-article,2112,2600,2028,3856,FinExp_0116.png,4167,6622
non-article,32,1009,2002,5492,FinExp_0116.png,4167,6622
article,836,3612,2212,1292,FinExp_0117.png,4167,6622
article,3091,261,1042,4595,FinExp_0117.png,4167,6622
article,7,4986,4160,1521,FinExp_0117.png,4167,6622
article,836,229,2202,3308,FinExp_0117.png,4167,6622
article,7,245,776,1042,FinExp_0117.png,4167,6622
article,23,1330,750,808,FinExp_0117.png,4167,6622
article,49,2180,707,675,FinExp_0117.png,4167,6622
article,55,2882,718,665,FinExp_0117.png,4167,6622
article,60,3584,718,808,FinExp_0117.png,4167,6622
article,60,4430,659,447,FinExp_0117.png,4167,6622
title,0,0,4167,213,FinExp_0117.png,4167,6622
non-article,544,956,2035,5420,FinExp_0118.png,4167,6622
title,0,0,4167,193,FinExp_0118.png,4167,6622
non-article,2624,229,1501,6280,FinExp_0118.png,4167,6622
article,0,4973,462,1526,FinExp_0118.png,4167,6622
article,4,234,453,4670,FinExp_0118.png,4167,6622
non-article,1581,265,1017,656,FinExp_0118.png,4167,6622
non-article,534,280,1007,519,FinExp_0118.png,4167,6622
article,1365,461,2802,3093,FinExp_0119.png,4167,6622
article,0,475,1292,2223,FinExp_0119.png,4167,6622
article,0,2749,1307,1727,FinExp_0119.png,4167,6622
article,1389,3663,2778,1825,FinExp_0119.png,4167,6622
article,1370,5560,1736,831,FinExp_0119.png,4167,6622
article,3168,5579,999,837,FinExp_0119.png,4167,6622
article,0,4520,1308,1890,FinExp_0119.png,4167,6622
title,0,0,4167,390,FinExp_0119.png,4167,6622
non-article,160,6435,3837,89,FinExp_0119.png,4167,6622
article,1813,3563,2354,2944,FinExp_0120.png,4167,6622
article,19,3570,1729,2925,FinExp_0120.png,4167,6622
article,0,247,4153,3212,FinExp_0120.png,4167,6622
title,0,0,4167,195,FinExp_0120.png,4167,6622
article,9,4539,3109,1956,FinExp_0121.png,4167,6622
article,3196,4902,971,1593,FinExp_0121.png,4167,6622
article,3185,829,982,3983,FinExp_0121.png,4167,6622
article,1619,2640,1493,1816,FinExp_0121.png,4167,6622
article,511,2640,1036,1833,FinExp_0121.png,4167,6622
article,522,823,2596,1744,FinExp_0121.png,4167,6622
article,19,825,464,917,FinExp_0121.png,4167,6622
article,43,1765,401,1527,FinExp_0121.png,4167,6622
article,43,3319,401,1142,FinExp_0121.png,4167,6622
article,0,260,4153,526,FinExp_0121.png,4167,6622
title,0,0,4167,201,FinExp_0121.png,4167,6622
article,851,5175,3316,1348,FinExp_0122.png,4167,6622
article,3664,840,503,4234,FinExp_0122.png,4167,6622
article,878,3960,1549,1120,FinExp_0122.png,4167,6622
article,2516,3938,1103,1159,FinExp_0122.png,4167,6622
article,867,840,2752,3053,FinExp_0122.png,4167,6622
article,0,262,4167,529,FinExp_0122.png,4167,6622
article,9,858,797,1398,FinExp_0122.png,4167,6622
article,15,2305,769,2051,FinExp_0122.png,4167,6622
article,65,4390,691,1426,FinExp_0122.png,4167,6622
article,65,5860,685,591,FinExp_0122.png,4167,6622
title,0,0,4167,203,FinExp_0122.png,4167,6622
article,539,5229,3609,1252,FinExp_0123.png,4167,6622
article,2650,252,1517,4908,FinExp_0123.png,4167,6622
